UF,código do município,Município,descrição,data,Valor
RO,110020,Ro-Porto Velho,Estoque,2021-05-01,85991.0
RO,110020,Ro-Porto Velho,Admissões,2021-05-01,3189.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-05-01,2622.0
RO,110020,Ro-Porto Velho,Saldos,2021-05-01,567.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-05-01,0.68
RO,110020,Ro-Porto Velho,Estoque,2021-06-01,87138.0
RO,110020,Ro-Porto Velho,Admissões,2021-06-01,3707.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-06-01,2560.0
RO,110020,Ro-Porto Velho,Saldos,2021-06-01,1147.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-06-01,1.4
RO,110020,Ro-Porto Velho,Estoque,2021-07-01,87920.0
RO,110020,Ro-Porto Velho,Admissões,2021-07-01,3641.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-07-01,2859.0
RO,110020,Ro-Porto Velho,Saldos,2021-07-01,782.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-07-01,0.93
RO,110020,Ro-Porto Velho,Estoque,2021-08-01,88825.0
RO,110020,Ro-Porto Velho,Admissões,2021-08-01,3936.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-08-01,3031.0
RO,110020,Ro-Porto Velho,Saldos,2021-08-01,905.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-08-01,1.06
RO,110020,Ro-Porto Velho,Estoque,2021-09-01,89187.0
RO,110020,Ro-Porto Velho,Admissões,2021-09-01,3649.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-09-01,3287.0
RO,110020,Ro-Porto Velho,Saldos,2021-09-01,362.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-09-01,0.43
RO,110020,Ro-Porto Velho,Estoque,2021-10-01,89808.0
RO,110020,Ro-Porto Velho,Admissões,2021-10-01,3763.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-10-01,3142.0
RO,110020,Ro-Porto Velho,Saldos,2021-10-01,621.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-10-01,0.75
RO,110020,Ro-Porto Velho,Estoque,2021-11-01,90732.0
RO,110020,Ro-Porto Velho,Admissões,2021-11-01,4025.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-11-01,3101.0
RO,110020,Ro-Porto Velho,Saldos,2021-11-01,924.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-11-01,1.08
RO,110020,Ro-Porto Velho,Estoque,2021-12-01,90718.0
RO,110020,Ro-Porto Velho,Admissões,2021-12-01,3595.0
RO,110020,Ro-Porto Velho,Desligamentos,2021-12-01,3609.0
RO,110020,Ro-Porto Velho,Saldos,2021-12-01,-14.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2021-12-01,-0.02
RO,110020,Ro-Porto Velho,Estoque,2022-01-01,90749.0
RO,110020,Ro-Porto Velho,Admissões,2022-01-01,3437.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-01-01,3406.0
RO,110020,Ro-Porto Velho,Saldos,2022-01-01,31.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-01-01,0.03
RO,110020,Ro-Porto Velho,Estoque,2022-02-01,91554.0
RO,110020,Ro-Porto Velho,Admissões,2022-02-01,4343.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-02-01,3538.0
RO,110020,Ro-Porto Velho,Saldos,2022-02-01,805.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-02-01,0.94
RO,110020,Ro-Porto Velho,Estoque,2022-03-01,92014.0
RO,110020,Ro-Porto Velho,Admissões,2022-03-01,4217.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-03-01,3757.0
RO,110020,Ro-Porto Velho,Saldos,2022-03-01,460.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-03-01,0.54
RO,110020,Ro-Porto Velho,Estoque,2022-04-01,92384.0
RO,110020,Ro-Porto Velho,Admissões,2022-04-01,3688.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-04-01,3318.0
RO,110020,Ro-Porto Velho,Saldos,2022-04-01,370.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-04-01,0.44
RO,110020,Ro-Porto Velho,Estoque,2022-05-01,92769.0
RO,110020,Ro-Porto Velho,Admissões,2022-05-01,3910.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-05-01,3525.0
RO,110020,Ro-Porto Velho,Saldos,2022-05-01,385.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-05-01,0.43
RO,110020,Ro-Porto Velho,Estoque,2022-06-01,93503.0
RO,110020,Ro-Porto Velho,Admissões,2022-06-01,4062.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-06-01,3328.0
RO,110020,Ro-Porto Velho,Saldos,2022-06-01,734.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-06-01,0.85
RO,110020,Ro-Porto Velho,Estoque,2022-07-01,93861.0
RO,110020,Ro-Porto Velho,Admissões,2022-07-01,4100.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-07-01,3742.0
RO,110020,Ro-Porto Velho,Saldos,2022-07-01,358.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-07-01,0.41
RO,110020,Ro-Porto Velho,Estoque,2022-08-01,94432.0
RO,110020,Ro-Porto Velho,Admissões,2022-08-01,4384.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-08-01,3813.0
RO,110020,Ro-Porto Velho,Saldos,2022-08-01,571.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-08-01,0.64
RO,110020,Ro-Porto Velho,Estoque,2022-09-01,94880.0
RO,110020,Ro-Porto Velho,Admissões,2022-09-01,4017.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-09-01,3569.0
RO,110020,Ro-Porto Velho,Saldos,2022-09-01,448.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-09-01,0.51
RO,110020,Ro-Porto Velho,Estoque,2022-10-01,95007.0
RO,110020,Ro-Porto Velho,Admissões,2022-10-01,3748.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-10-01,3621.0
RO,110020,Ro-Porto Velho,Saldos,2022-10-01,127.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-10-01,0.15
RO,110020,Ro-Porto Velho,Estoque,2022-11-01,95089.0
RO,110020,Ro-Porto Velho,Admissões,2022-11-01,3409.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-11-01,3327.0
RO,110020,Ro-Porto Velho,Saldos,2022-11-01,82.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-11-01,0.1
RO,110020,Ro-Porto Velho,Estoque,2022-12-01,94763.0
RO,110020,Ro-Porto Velho,Admissões,2022-12-01,3139.0
RO,110020,Ro-Porto Velho,Desligamentos,2022-12-01,3465.0
RO,110020,Ro-Porto Velho,Saldos,2022-12-01,-326.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2022-12-01,-0.37
RO,110020,Ro-Porto Velho,Estoque,2023-01-01,94623.0
RO,110020,Ro-Porto Velho,Admissões,2023-01-01,3451.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-01-01,3591.0
RO,110020,Ro-Porto Velho,Saldos,2023-01-01,-140.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-01-01,-0.15
RO,110020,Ro-Porto Velho,Estoque,2023-02-01,95651.0
RO,110020,Ro-Porto Velho,Admissões,2023-02-01,4288.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-02-01,3260.0
RO,110020,Ro-Porto Velho,Saldos,2023-02-01,1028.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-02-01,1.15
RO,110020,Ro-Porto Velho,Estoque,2023-03-01,96215.0
RO,110020,Ro-Porto Velho,Admissões,2023-03-01,4442.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-03-01,3878.0
RO,110020,Ro-Porto Velho,Saldos,2023-03-01,564.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-03-01,0.63
RO,110020,Ro-Porto Velho,Estoque,2023-04-01,96489.0
RO,110020,Ro-Porto Velho,Admissões,2023-04-01,3837.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-04-01,3563.0
RO,110020,Ro-Porto Velho,Saldos,2023-04-01,274.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-04-01,0.3
RO,110020,Ro-Porto Velho,Estoque,2023-05-01,97253.0
RO,110020,Ro-Porto Velho,Admissões,2023-05-01,4636.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-05-01,3872.0
RO,110020,Ro-Porto Velho,Saldos,2023-05-01,764.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-05-01,0.85
RO,110020,Ro-Porto Velho,Estoque,2023-06-01,98191.0
RO,110020,Ro-Porto Velho,Admissões,2023-06-01,4459.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-06-01,3521.0
RO,110020,Ro-Porto Velho,Saldos,2023-06-01,938.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-06-01,1.03
RO,110020,Ro-Porto Velho,Estoque,2023-07-01,97857.0
RO,110020,Ro-Porto Velho,Admissões,2023-07-01,4068.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-07-01,4402.0
RO,110020,Ro-Porto Velho,Saldos,2023-07-01,-334.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-07-01,-0.36
RO,110020,Ro-Porto Velho,Estoque,2023-08-01,98613.0
RO,110020,Ro-Porto Velho,Admissões,2023-08-01,4636.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-08-01,3880.0
RO,110020,Ro-Porto Velho,Saldos,2023-08-01,756.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-08-01,0.83
RO,110020,Ro-Porto Velho,Estoque,2023-09-01,99103.0
RO,110020,Ro-Porto Velho,Admissões,2023-09-01,4192.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-09-01,3702.0
RO,110020,Ro-Porto Velho,Saldos,2023-09-01,490.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-09-01,0.53
RO,110020,Ro-Porto Velho,Estoque,2023-10-01,99138.0
RO,110020,Ro-Porto Velho,Admissões,2023-10-01,3754.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-10-01,3719.0
RO,110020,Ro-Porto Velho,Saldos,2023-10-01,35.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-10-01,0.04
RO,110020,Ro-Porto Velho,Estoque,2023-11-01,99267.0
RO,110020,Ro-Porto Velho,Admissões,2023-11-01,3913.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-11-01,3784.0
RO,110020,Ro-Porto Velho,Saldos,2023-11-01,129.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-11-01,0.14
RO,110020,Ro-Porto Velho,Estoque,2023-12-01,98026.0
RO,110020,Ro-Porto Velho,Admissões,2023-12-01,2878.0
RO,110020,Ro-Porto Velho,Desligamentos,2023-12-01,4119.0
RO,110020,Ro-Porto Velho,Saldos,2023-12-01,-1241.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2023-12-01,-1.33
RO,110020,Ro-Porto Velho,Estoque,2024-01-01,97785.0
RO,110020,Ro-Porto Velho,Admissões,2024-01-01,3674.0
RO,110020,Ro-Porto Velho,Desligamentos,2024-01-01,3915.0
RO,110020,Ro-Porto Velho,Saldos,2024-01-01,-241.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2024-01-01,-0.25
RO,110020,Ro-Porto Velho,Estoque,2024-02-01,98472.0
RO,110020,Ro-Porto Velho,Admissões,2024-02-01,4568.0
RO,110020,Ro-Porto Velho,Desligamentos,2024-02-01,3881.0
RO,110020,Ro-Porto Velho,Saldos,2024-02-01,687.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2024-02-01,0.7
RO,110020,Ro-Porto Velho,Estoque,2024-03-01,98888.0
RO,110020,Ro-Porto Velho,Admissões,2024-03-01,4335.0
RO,110020,Ro-Porto Velho,Desligamentos,2024-03-01,3919.0
RO,110020,Ro-Porto Velho,Saldos,2024-03-01,416.0
RO,110020,Ro-Porto Velho,Variação Relativa (%),2024-03-01,0.42
AC,120040,Ac-Rio Branco,Estoque,2020-01-01,57586.0
AC,120040,Ac-Rio Branco,Admissões,2020-01-01,2013.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-01-01,1685.0
AC,120040,Ac-Rio Branco,Saldos,2020-01-01,328.0
AC,120040,Ac-Rio Branco,Estoque,2020-02-01,57587.0
AC,120040,Ac-Rio Branco,Admissões,2020-02-01,2177.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-02-01,1414.0
AC,120040,Ac-Rio Branco,Saldos,2020-02-01,763.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-02-01,1.49
AC,120040,Ac-Rio Branco,Estoque,2020-03-01,57606.0
AC,120040,Ac-Rio Branco,Admissões,2020-03-01,1856.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-03-01,1837.0
AC,120040,Ac-Rio Branco,Saldos,2020-03-01,19.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-03-01,0.05
AC,120040,Ac-Rio Branco,Estoque,2020-04-01,57548.0
AC,120040,Ac-Rio Branco,Admissões,2020-04-01,1415.0
